student_id,gender,school_type,study_environment,study_hours_per_week,attendance_percentage,previous_score,sleep_hours,assignments_completed,mock_tests_attempted,participation_score,parental_support_level,internet_access,stress_level,screen_time_hours,commute_time_mins,extracurricular_hours,tuition_support,final_score,performance_level
1861,Male,Government,Quiet,3.1,91.94,67.94,7.01,1.0,6.0,3.32,5.0,0.0,3.01,4.98,54.31,3.9,0.0,74.17,Medium
354,Male,Private,Quiet,1.92,73.7,50.43,6.14,20.0,2.0,9.84,0.0,1.0,7.79,5.87,,8.64,1.0,69.9,Medium
1334,Female,Government,Quiet,1.72,78.11,86.53,6.27,15.0,1.0,6.22,4.0,0.0,4.75,5.13,48.08,2.69,,75.37,High
906,Female,Private,Average,6.88,73.98,61.43,8.16,0.0,6.0,1.63,0.0,0.0,7.18,4.59,27.49,4.24,0.0,55.72,Medium
1290,Male,Government,Quiet,4.75,85.04,63.84,4.36,14.0,9.0,1.18,1.0,1.0,0.6,0.0,23.43,6.19,1.0,85.5,High
1274,Male,Government,Noisy,6.35,96.3,66.22,6.93,8.0,5.0,9.01,0.0,1.0,7.64,3.41,20.84,3.85,0.0,76.97,High
939,Other,Private,Average,5.96,78.01,100.0,7.4,10.0,9.0,4.13,1.0,1.0,2.11,1.13,68.36,6.96,1.0,93.88,High
1732,Male,Government,Average,6.73,88.8,53.7,4.0,5.0,1.0,4.55,,1.0,5.95,1.75,27.36,4.74,1.0,69.41,Medium
66,Female,Government,Noisy,6.33,,83.26,6.3,,8.0,6.4,0.0,0.0,6.07,2.82,20.26,6.94,1.0,83.71,High
1324,,Private,Noisy,10.11,72.08,68.86,7.16,19.0,8.0,5.18,4.0,1.0,1.47,3.92,34.41,1.8,0.0,86.72,High
57,Female,Private,Noisy,4.33,72.18,79.66,8.14,17.0,10.0,1.04,2.0,0.0,,5.57,37.04,4.27,,89.49,High
1293,Male,Private,Quiet,1.26,,89.96,5.44,6.0,3.0,8.53,0.0,1.0,0.03,4.19,39.25,3.53,1.0,75.3,High
1119,Male,Government,Average,8.31,,82.59,7.09,4.0,,6.59,,0.0,1.5,4.01,22.36,5.26,0.0,94.44,High
585,Male,Government,Average,12.25,75.39,93.26,7.11,19.0,3.0,7.11,2.0,0.0,7.76,0.65,56.21,3.93,,90.83,High
375,Female,Government,Quiet,7.91,81.01,65.28,7.2,6.0,3.0,5.69,3.0,0.0,,0.71,46.42,5.24,0.0,77.73,High
276,Female,Government,Average,4.75,82.0,99.46,7.57,12.0,1.0,5.52,4.0,1.0,5.0,4.62,48.48,4.13,1.0,86.1,High
747,Female,Government,Average,1.53,71.8,56.45,7.68,18.0,3.0,9.87,2.0,0.0,9.73,3.29,23.99,,1.0,74.7,Medium
129,Male,Semi-Private,Quiet,3.41,94.63,52.48,7.04,15.0,10.0,0.72,2.0,0.0,0.72,1.77,27.27,4.37,0.0,80.69,High
1647,Male,Government,Quiet,6.9,62.25,64.93,7.47,9.0,7.0,8.74,0.0,0.0,2.54,3.59,35.5,10.14,1.0,79.73,High
1853,Female,Government,Average,4.89,81.39,68.91,6.3,16.0,6.0,6.84,4.0,,3.69,0.34,9.65,5.77,0.0,94.22,High
675,Male,Government,Noisy,2.28,90.7,52.75,6.34,7.0,10.0,6.77,1.0,1.0,8.59,3.73,24.15,6.01,0.0,76.1,High
1665,Female,Government,Quiet,,,80.27,6.35,,1.0,8.48,3.0,1.0,4.13,1.51,17.51,3.48,1.0,85.68,High
1982,Male,Semi-Private,Average,3.26,90.45,42.55,6.79,4.0,7.0,4.11,4.0,,5.6,2.73,20.44,3.46,0.0,67.0,Medium
1084,Male,Government,Average,13.6,91.54,,6.67,6.0,5.0,7.23,0.0,0.0,0.01,8.18,32.31,6.88,0.0,84.83,High
1923,Female,Government,Noisy,2.8,60.3,67.67,7.88,17.0,7.0,7.38,4.0,0.0,5.38,3.25,37.7,2.64,1.0,79.6,High
100,Female,Private,Noisy,5.21,70.27,64.84,6.24,17.0,2.0,8.97,,1.0,0.37,,38.06,2.63,0.0,70.0,Medium
1180,Female,Private,Average,6.52,65.97,68.6,6.51,5.0,,,3.0,1.0,4.1,5.1,27.45,0.62,0.0,65.1,Medium
965,Female,Government,Average,0.72,87.14,78.44,7.01,16.0,6.0,4.57,2.0,0.0,1.85,3.64,28.83,4.02,1.0,86.95,High
793,Male,Government,Quiet,5.62,99.64,100.0,6.7,11.0,0.0,4.01,3.0,0.0,4.03,2.4,39.32,7.58,0.0,86.48,High
30,Male,Government,Average,0.84,80.82,84.52,8.52,14.0,1.0,7.64,2.0,1.0,,2.84,0.0,3.1,0.0,88.62,High
629,Male,Government,Average,2.49,74.55,84.07,7.7,4.0,2.0,6.25,5.0,1.0,0.75,3.25,23.97,4.95,1.0,92.54,High
945,,Semi-Private,Average,,76.64,89.66,5.77,0.0,9.0,,4.0,1.0,7.76,2.45,14.15,3.87,0.0,82.48,High
573,Female,Government,Noisy,2.68,81.35,77.63,6.39,4.0,4.0,5.01,0.0,0.0,3.45,4.92,47.27,3.79,,68.39,Medium
908,Female,Semi-Private,Quiet,6.48,61.95,59.78,8.49,11.0,10.0,,2.0,1.0,2.58,3.13,7.12,7.2,1.0,90.48,High
1081,,Government,Quiet,14.35,79.74,53.27,7.6,0.0,7.0,8.28,5.0,1.0,6.56,6.09,23.77,5.0,1.0,70.47,Medium
